pincode,location_type,distance_km,terrain_type,infra_type,base_material_cost,labor_rate_factor,final_cost
500081,Urban,5.03,High,Underground,5439,1.12,21996.45
380015,Rural,3.22,High,Underground,3915,1.19,17266.38
400001,Urban,4.2,Medium,Underground,3971,1.04,16082.08
110001,Urban,0.75,Medium,Aerial,6614,1.26,11314.86
560034,Rural,0.6,Low,Aerial,7585,1.44,12868.63
122001,Urban,0.92,Medium,Aerial,3580,1.26,6733.22
600001,Rural,8.95,Medium,Underground,6641,1.34,37205.58
122001,Rural,7.89,High,Aerial,6231,1.06,29619.27
411001,Urban,8.52,Low,Underground,4760,1.32,27984.24
411045,Urban,3.65,High,Underground,5310,1.28,18591.38
400076,Rural,4.44,Low,Aerial,6134,1.25,18303.26
110001,Rural,8.85,Low,Underground,3350,1.28,26236.65
411045,Rural,0.8,Low,Aerial,4611,1.02,6740.61
122001,Urban,8.61,Low,Underground,6024,1.42,29903.07
500032,Urban,8.64,Medium,Aerial,7246,1.33,29002.61
400001,Urban,3.65,Medium,Underground,6546,1.24,19726.52
110001,Urban,6.15,Medium,Aerial,5375,1.11,19316.07
500081,Rural,6.82,Medium,Underground,3150,1.05,23793.73
110001,Urban,7.04,Low,Aerial,5084,1.06,20304.5
110016,Urban,3.14,High,Underground,7725,1.17,20673.08
600001,Rural,0.95,Medium,Aerial,4600,1.47,10153.8
560034,Rural,5.41,Medium,Underground,4441,1.21,23069.41
122001,Rural,0.94,High,Underground,6047,1.36,14324.49
411001,Urban,4.41,Medium,Underground,3424,1.05,16017.51
600028,Rural,7.41,Low,Aerial,4181,1.18,20641.97
411001,Rural,7.89,Medium,Underground,6621,1.27,31906.4
400076,Rural,8.53,Medium,Aerial,5929,1.29,30431.79
122002,Rural,7.78,High,Underground,5267,1.16,31124.77
600028,Urban,0.56,Low,Aerial,7472,1.11,9280.9
400001,Urban,0.52,High,Underground,5604,1.02,9772.08
600028,Urban,8.24,Low,Underground,4964,1.06,25653.34
500032,Rural,6.16,Low,Underground,3412,1.02,19912.71
500032,Urban,3.96,Low,Aerial,7996,1.05,16238.84
700091,Rural,7.67,Low,Underground,7159,1,27468.36
400076,Rural,3.35,High,Underground,4668,1.37,19989.75
560001,Urban,9.57,Low,Aerial,4860,1.28,25280.69
122001,Rural,2.49,Medium,Underground,3592,1.32,13917.67
400001,Rural,1.21,Medium,Underground,6802,1.1,12998.62
560034,Urban,2.6,Medium,Aerial,7451,1.42,17426.53
400001,Rural,4.56,Low,Underground,3622,1.16,16854.78
700001,Rural,7.26,High,Aerial,6727,1.46,31205.04
122002,Rural,7.91,High,Underground,6208,1.19,35176.48
400001,Rural,5.23,Medium,Aerial,7757,1.45,25186.7
411001,Rural,9.98,High,Aerial,6670,1.46,38863.48
560001,Rural,8.17,Low,Aerial,3597,1.07,21862.46
500081,Urban,7.85,High,Underground,3180,1.45,28833.3
700091,Urban,1.45,Medium,Underground,4491,1.23,11010.56
411001,Rural,8.83,High,Aerial,4848,1.2,29077.39
122001,Urban,6.93,Medium,Underground,5336,1.13,25977.6
400001,Urban,9.97,Low,Aerial,4454,1.4,24990.09
600028,Urban,4.98,High,Underground,4235,1.43,22515.19
400001,Rural,7.01,Medium,Underground,7736,1.37,35120.41
700001,Urban,9.76,High,Underground,4870,1.1,33828.64
380015,Urban,8.52,High,Aerial,3892,1.06,25750.85
400076,Urban,7.22,Medium,Aerial,7343,1.24,25088.44
400001,Urban,9.17,Medium,Aerial,5293,1.27,26342.19
700091,Urban,7.15,Medium,Aerial,5977,1.3,23149.02
400076,Urban,5.17,Medium,Aerial,3716,1.27,16443.15
560001,Urban,2.45,Medium,Underground,7853,1.29,18063.2
500081,Urban,5.09,Medium,Aerial,6510,1.32,21663.25
380015,Urban,5.53,High,Underground,4725,1.43,25505.79
110016,Rural,9.07,High,Underground,5031,1.18,34411.44
411045,Urban,7.86,High,Underground,3638,1.09,26030.93
380015,Rural,5.92,Medium,Aerial,4643,1.37,20848.75
122002,Urban,7.93,High,Aerial,5856,1.06,25589.75
600028,Urban,8.54,Low,Underground,6949,1.1,27857.73
122001,Rural,1.64,High,Underground,6395,1.08,14648.5
110016,Rural,7.39,High,Underground,7638,1.39,37432.28
600001,Urban,9.39,Low,Underground,6353,1.09,29709.21
411001,Urban,1.27,Low,Underground,4521,1.16,8636.29
400001,Urban,5.18,Low,Aerial,6211,1.2,17302.5
400076,Urban,8.02,Low,Aerial,6641,1.07,23575.4
700001,Rural,3.94,High,Aerial,7785,1.45,25868.73
500081,Urban,5.14,High,Aerial,6957,1.2,22657.56
110016,Rural,4.92,High,Underground,4422,1.19,22086.78
110016,Urban,5.53,Low,Underground,6697,1.24,22962.67
122002,Urban,1.5,Medium,Aerial,4500,1.14,9202.27
500081,Rural,2.29,High,Underground,5615,1.06,15510.76
122001,Urban,2.2,Low,Underground,6111,1.1,12224.88
400076,Rural,0.6,Medium,Aerial,5030,1.18,8533.61
560001,Rural,7.25,High,Underground,6073,1.37,35260.58
560001,Urban,3.48,Low,Aerial,4773,1.1,11874.83
380015,Urban,5.17,High,Underground,6565,1.43,28115.01
411001,Urban,3.49,Low,Underground,7395,1.29,18646.83
400076,Rural,7.1,Low,Aerial,3860,1.29,19985.56
122001,Urban,7.42,Medium,Aerial,7994,1.13,26582.93
411045,Rural,6.61,Low,Aerial,7901,1.29,26163.22
500032,Urban,5.48,High,Aerial,6431,1.17,21608.81
600028,Urban,6.78,Low,Underground,3358,1.27,20845.49
500032,Rural,6.83,Low,Underground,3889,1.24,23373.5
380001,Urban,3.98,High,Underground,4942,1.23,19756.51
122002,Urban,5.45,High,Underground,4789,1.04,22675.85
400001,Rural,9.64,High,Underground,6823,1.08,38125.54
380001,Rural,6.34,High,Aerial,7825,1.24,28925.84
700001,Urban,3.66,Low,Underground,4594,1.02,13316.47
500081,Rural,3.05,Medium,Aerial,6600,1.01,15671.41
560001,Rural,6.45,Low,Aerial,5939,1.46,22882.17
560001,Urban,3.52,High,Underground,3096,1.49,16367.01
110016,Rural,4.18,Medium,Underground,3993,1.34,18017.85
110016,Urban,1.7,High,Underground,3469,1.29,10964.96
411001,Rural,6.71,Medium,Aerial,6960,1.36,27377.03
400001,Rural,3.48,High,Aerial,7616,1.49,22883.47
500081,Rural,4.04,High,Aerial,6970,1.32,22498.41
500081,Urban,4.7,Medium,Aerial,6729,1.06,19002.78
110016,Urban,1.81,Medium,Underground,4180,1.22,11212.24
700091,Urban,7.08,High,Underground,4246,1.35,27463.05
500081,Rural,8.06,Medium,Aerial,7785,1.08,28139.19
560001,Urban,8.76,Low,Aerial,3303,1.27,20843.26
110001,Rural,3.34,Low,Underground,4424,1.48,16388.44
600028,Rural,2.72,Medium,Underground,6747,1.32,20112.4
110016,Rural,3.47,Medium,Underground,4278,1.04,14811.39
500032,Rural,3.18,Medium,Aerial,7394,1.06,17081.46
400001,Urban,4.03,Medium,Aerial,5028,1.22,16053.12
411045,Rural,4.5,Low,Underground,4189,1.17,17544.08
400076,Urban,7.92,High,Aerial,3930,1.06,23160.05
560034,Rural,2.52,High,Aerial,3987,1.15,12801.55
400076,Rural,4.86,Low,Underground,6943,1.06,21623.97
411001,Urban,1.5,Low,Aerial,4056,1.22,7846.78
700091,Rural,7.12,Low,Aerial,6780,1.21,24824.21
560034,Urban,2.83,Low,Aerial,7076,1.14,13649.01
560034,Rural,1.08,High,Underground,5320,1.19,12416.52
122002,Urban,1.49,Medium,Aerial,5676,1.14,10545.67
500081,Urban,3.07,Medium,Underground,7189,1.15,18295.29
122001,Rural,2.03,High,Aerial,4274,1.4,13456.18
400001,Urban,9.13,Medium,Underground,3166,1.44,30200.14
560001,Urban,3.06,Medium,Underground,6110,1.1,16890.57
500081,Urban,5.97,High,Underground,3369,1.21,22552.9
400001,Urban,1.7,Low,Underground,7692,1.23,14307.61
122002,Rural,6.04,High,Underground,6119,1.35,30235.54
600001,Urban,1.66,Medium,Underground,4690,1.4,12044.19
411001,Rural,8.82,Medium,Underground,6221,1.32,34485.21
700091,Rural,2.28,Medium,Aerial,7430,1.05,14335.56
122002,Urban,7.75,Low,Underground,7247,1.11,25933.29
411045,Urban,2.49,Low,Underground,5881,1.41,15768.44
500032,Urban,4.79,Low,Underground,5358,1.13,18511.01
400076,Rural,8.31,High,Aerial,5619,1,29457.08
122001,Urban,1.89,Medium,Aerial,5931,1.4,13434.86
560034,Rural,4.64,Medium,Underground,5300,1.19,21584.67
411045,Rural,6.46,High,Underground,6806,1.34,34100.76
500032,Urban,3.44,Low,Aerial,4172,1.14,12064.52
600001,Urban,3.66,Low,Underground,3351,1.13,12828.03
411045,Rural,0.56,Low,Aerial,3243,1.1,5224.02
110001,Urban,0.79,High,Underground,5924,1.21,12289.37
380001,Urban,4.66,Low,Underground,5711,1.24,19559.5
560034,Rural,6.04,Medium,Aerial,3080,1.4,20232.72
600028,Urban,4.97,Medium,Underground,4495,1.33,19605.77
400001,Urban,3.29,High,Aerial,4417,1.09,13990.09
122002,Rural,6.35,High,Aerial,6763,1.47,28818.29
560001,Rural,0.67,High,Aerial,7515,1.31,14590.39
700091,Urban,7.21,High,Underground,4618,1.28,28636.5
380001,Urban,3.64,High,Underground,7765,1,20139.56
700001,Rural,3.65,High,Aerial,7885,1.06,20586.46
380001,Urban,7.25,Low,Underground,4467,1.04,23015.1
700091,Urban,5.95,High,Underground,4300,1.37,24973.04
700001,Rural,2.09,High,Underground,6673,1.37,19602.25
380001,Urban,6.09,High,Aerial,6282,1.1,22237.75
700091,Rural,6.57,Medium,Aerial,3328,1.19,20403.39
411045,Urban,3.97,Medium,Underground,3439,1.32,16239.72
122001,Rural,1.45,High,Underground,4046,1.39,12094.08
700001,Rural,2.75,High,Aerial,4875,1,12869.22
560034,Rural,3.13,Medium,Aerial,4092,1.3,13266.65
400001,Rural,6.69,High,Underground,4299,1.28,28532.28
411001,Urban,0.67,High,Underground,3211,1.29,7813.24
500081,Rural,9.87,Low,Underground,6435,1.11,33347.36
600001,Urban,1.3,Low,Aerial,7002,1.47,12702.68
500081,Urban,0.7,Medium,Underground,4423,1,7021.97
400076,Urban,5.11,High,Aerial,7142,1.45,25923.06
600028,Rural,4.39,High,Aerial,4357,1.18,17980.96
411045,Urban,2.09,Medium,Underground,6524,1.33,16654.68
700091,Rural,8.95,Medium,Underground,4370,1.21,30994.49
400076,Urban,9.64,High,Aerial,6998,1.36,33690.04
700091,Urban,2.21,High,Aerial,6973,1.45,18210.4
380001,Urban,8.16,High,Underground,6577,1.3,35281.42
122002,Urban,8.81,High,Underground,6440,1.27,34791.58
411045,Rural,7.74,Low,Underground,6496,1.15,27673.08
600028,Urban,8.73,High,Underground,4652,1.39,33721.89
122002,Urban,1.67,Low,Aerial,6121,1.49,12941.14
122002,Urban,4.32,High,Underground,4968,1.2,19957.24
380001,Urban,0.89,Low,Underground,3330,1.14,6529.46
380015,Rural,5.91,Medium,Underground,6475,1.05,24704.27
380015,Urban,9.1,Medium,Underground,7944,1.38,37153.29
122001,Rural,6.15,Medium,Underground,4936,1.11,23164.11
400076,Rural,2.09,Low,Underground,3561,1.44,11555.71
400076,Rural,2.39,High,Underground,4423,1.24,15130.99
110016,Rural,4.48,High,Underground,3664,1.47,22435.19
400076,Urban,7.67,Medium,Aerial,4297,1.2,22520.99
500081,Urban,0.76,High,Aerial,4023,1.41,8653.14
110001,Rural,1.18,Medium,Underground,6653,1.07,12554.86
400076,Rural,7.67,Medium,Aerial,3703,1.44,24496.85
500081,Urban,7.83,Low,Aerial,6513,1.35,24653.02
122002,Rural,8.32,High,Underground,6519,1.17,35583.89
380001,Rural,7.75,High,Aerial,5527,1.48,31081.82
600028,Rural,8.42,Low,Aerial,6386,1.13,25525.83
411045,Urban,4.24,Medium,Aerial,5463,1.09,16454.47
411001,Urban,5.74,Low,Aerial,4743,1.32,18104.92
600001,Urban,5.33,Medium,Aerial,5710,1.41,20704.45
122002,Urban,5.81,Medium,Underground,4986,1.49,23595.96
380001,Urban,1.34,High,Underground,7944,1.21,17182.93
500081,Urban,2.5,Medium,Underground,6426,1.07,15683.02
500081,Urban,2.41,Medium,Underground,3610,1.44,13092.54
500081,Rural,7.95,Medium,Underground,4844,1.3,31314.16
122001,Urban,3.1,Low,Underground,6610,1.32,16823.81
600001,Urban,6.13,High,Underground,7032,1.16,28374.85
110016,Urban,6.92,Medium,Aerial,7219,1.49,27848.46
380001,Rural,7.57,Low,Aerial,4373,1.21,22207.8
600028,Rural,5.66,High,Underground,6877,1.24,29295.11
110001,Rural,6.11,High,Aerial,7291,1.29,26860.65
600001,Urban,3.21,Medium,Underground,3122,1.39,13794.14
500032,Urban,3.92,High,Underground,5054,1.28,20537.59
411045,Urban,8.49,Low,Aerial,7351,1.02,23665.54
411001,Rural,8.94,Medium,Aerial,7037,1.45,34459.56
600001,Rural,6.48,Medium,Aerial,7510,1.37,28009.7
700091,Urban,0.53,High,Aerial,6682,1.34,11448.6
600028,Urban,3.46,Low,Aerial,7433,1.04,14765.06
500081,Rural,2.81,High,Aerial,4605,1.2,14895.12
700001,Urban,4.05,Low,Underground,5955,1.36,18202.5
560001,Rural,9.6,High,Aerial,5489,1.36,35151.01
110016,Urban,1.52,Low,Underground,7390,1.18,13595.98
380001,Urban,6.47,Medium,Aerial,4704,1.48,20841.81
700001,Urban,6.08,Low,Underground,5996,1.23,22555.1
110016,Urban,3.7,Low,Underground,5067,1.25,16490.66
700091,Rural,8.77,Medium,Underground,5760,1.4,33240.05
122001,Urban,4.93,Medium,Aerial,7031,1.27,20352.01
600028,Rural,4.96,Medium,Underground,3060,1.02,17129.32
560034,Rural,2.92,High,Aerial,7696,1.39,20798.74
122002,Urban,6.34,Medium,Aerial,5510,1.46,23905.16
560034,Rural,8.33,Medium,Underground,5979,1.07,31024.45
500032,Urban,7.56,High,Underground,3257,1.24,27654.31
380015,Rural,6.59,Low,Underground,4761,1.44,24800.89
700091,Urban,5.31,Medium,Aerial,3416,1.08,16154.85
400076,Urban,7.05,Medium,Underground,4519,1.2,23624.68
500081,Urban,6.67,High,Aerial,5633,1.24,23780.02
560001,Rural,1.47,Low,Underground,3951,1.21,9280.02
110016,Rural,0.71,High,Aerial,4889,1.05,8568.03
122002,Rural,5.98,Medium,Aerial,4207,1.34,19925.69
122002,Urban,8.76,High,Aerial,4980,1.26,27748.89
500032,Rural,5.5,Low,Aerial,3268,1.06,16097.7
400076,Rural,6.85,High,Underground,4404,1.11,28111.65
500081,Rural,2.82,Low,Aerial,3668,1.23,10552.66
411045,Urban,8.43,Medium,Underground,6766,1.13,30907.8
380001,Urban,4.87,Medium,Underground,5837,1.41,23777.53
110016,Rural,9.51,High,Aerial,4415,1.06,29311.97
110016,Rural,9.37,Low,Underground,3165,1.09,27527.92
110001,Urban,2.03,Medium,Underground,7788,1.11,16260.87
122001,Urban,8.82,Medium,Underground,6888,1.39,34867.5
411045,Urban,9.48,Low,Aerial,6791,1.03,27133.4
400076,Urban,4.33,Low,Aerial,3378,1.13,12570.52
411045,Rural,4.1,Low,Aerial,7418,1.19,18708.95
411001,Urban,7.05,High,Aerial,6393,1.48,28899.31
700001,Urban,8.45,Medium,Underground,6548,1.45,34800.65
110001,Urban,4.91,High,Aerial,3755,1.41,18504.49
380015,Rural,4.8,Low,Underground,6096,1.19,21504.14
380001,Urban,8.9,High,Underground,7644,1.18,36126.89
700001,Urban,6.54,High,Underground,5519,1.46,29701.14
122002,Urban,7.43,High,Underground,3157,1.04,24996.53
380001,Rural,1.45,Medium,Aerial,4563,1.3,10654.06
122002,Urban,4.73,High,Underground,6883,1.14,24571.07
560001,Urban,2.53,Medium,Aerial,5442,1.29,13482.57
500081,Urban,4.44,High,Underground,4087,1.02,18863.78
600001,Urban,8.67,Medium,Aerial,4383,1.43,27260.58
600001,Rural,6,High,Aerial,3282,1.06,20596.36
411001,Rural,5.13,Low,Underground,3511,1.38,19638.87
700091,Rural,0.88,Low,Aerial,6068,1.18,9560.26
411001,Rural,3.19,High,Aerial,5801,1.01,16482.53
380001,Urban,1.93,Low,Aerial,5109,1.24,10541.86
560001,Rural,1.44,Low,Underground,7716,1,13252.19
122001,Urban,6.93,Medium,Aerial,3227,1.2,20270.67
110016,Urban,6.68,Low,Aerial,7955,1.38,24604.23
500032,Rural,4.83,Low,Aerial,4969,1.45,18193.12
122001,Urban,9.74,Medium,Aerial,7913,1.15,30543.84
400001,Rural,2.11,Low,Aerial,4233,1.27,10117.76
400001,Rural,6.53,Low,Underground,4187,1.49,23891.86
122001,Rural,3.9,High,Aerial,6860,1.25,21617.82
122001,Rural,5.94,Medium,Underground,3535,1.16,21772.49
122002,Urban,0.57,Low,Underground,5415,1.06,7835.23
110001,Rural,4.45,Low,Aerial,6627,1.43,19511.47
700091,Rural,2.87,Medium,Aerial,7293,1.48,19276.82
560034,Urban,6.89,Medium,Underground,7350,1.39,29723.97
122002,Urban,9.59,Medium,Aerial,5298,1.1,28050.74
500081,Urban,2.68,Low,Aerial,5128,1.37,12499.61
400001,Rural,1.13,High,Aerial,6580,1.48,14971.65
380015,Urban,6.32,Medium,Underground,7319,1.29,26840.62
411001,Urban,0.55,High,Underground,5604,1.24,11652.67
500032,Rural,1.15,Medium,Underground,3700,1.41,10256.27
560034,Urban,2.19,Low,Underground,3251,1.34,9897.01
122002,Urban,0.73,Medium,Aerial,4501,1.39,8140.29
600028,Urban,7.77,Low,Aerial,5212,1.45,23149.35
122001,Urban,8.53,High,Aerial,6485,1.33,29451.15
122002,Rural,0.7,Medium,Aerial,3744,1.21,7246.42
122002,Urban,2.87,Medium,Underground,3338,1.17,12675.51
500081,Urban,1.04,Low,Aerial,6873,1.28,10483.17
560034,Rural,3.05,Low,Underground,3947,1.42,13831.9
122002,Rural,7.75,Medium,Aerial,7705,1.32,31682.28
600028,Rural,7.71,Medium,Underground,6234,1.25,31628.68
380001,Urban,7.02,High,Underground,5366,1.16,27387.47
380001,Rural,5.96,High,Underground,7754,1.4,32899.41
110016,Rural,4.24,Low,Aerial,5852,1.2,16306.92
700091,Rural,6.68,High,Underground,3954,1.08,27526.19
411001,Rural,7.18,Low,Aerial,5249,1.34,23938.9
110001,Urban,5.15,Low,Aerial,4518,1.07,14466.54
500032,Rural,5.36,High,Aerial,5042,1.18,21765.53
380001,Urban,3.3,Low,Aerial,5389,1.19,12775.49
500081,Rural,0.8,High,Underground,4803,1.22,11290.99
560034,Rural,6.17,Low,Underground,6333,1.11,23250.8
122001,Urban,4.62,Low,Aerial,7342,1.07,17178.08
560001,Rural,8.52,Low,Aerial,5968,1.28,26419.83
411045,Urban,4.95,Medium,Aerial,6211,1.39,20648.39
110001,Rural,1.22,High,Underground,4852,1.21,12513.33
560001,Urban,9.85,High,Underground,4999,1.04,33580.82
500081,Rural,4.33,High,Aerial,5300,1.37,19872.31
560034,Urban,2.41,Medium,Underground,7738,1.22,18764.28
400076,Urban,6.76,Low,Underground,4662,1.09,22193.87
122001,Urban,6.31,Medium,Aerial,3644,1.17,17731.28
110016,Rural,5.23,High,Aerial,5447,1.18,20982.31
411045,Urban,0.95,High,Underground,6451,1.43,14649.69
122001,Urban,3.25,Low,Underground,7128,1.43,19191.66
122002,Rural,1.9,High,Underground,3033,1.21,11667.22
560001,Rural,9.13,Low,Underground,6283,1.39,34054.74
500032,Urban,9.35,Medium,Underground,4703,1.1,29812.71
411001,Rural,1.93,High,Aerial,6791,1.34,16990.21
122001,Urban,2.11,Medium,Underground,4972,1.21,13390.36
500032,Rural,1.17,Low,Aerial,3780,1.15,7089.96
560034,Urban,6.85,Medium,Underground,6775,1.08,26242.62
560034,Rural,4.84,Medium,Aerial,4541,1.22,17754.42
122001,Rural,5.86,Low,Aerial,4060,1.04,16480.89
500032,Urban,1.97,High,Underground,5508,1.34,15356.01
122001,Rural,5.09,Medium,Aerial,6158,1.41,21760.09
400076,Urban,6.19,High,Underground,3256,1.07,22467.73
122001,Urban,5.23,Medium,Aerial,6294,1.36,20574.29
500032,Rural,2.91,Medium,Aerial,7481,1.41,19880.95
700091,Rural,6.79,Low,Aerial,7359,1.24,25123.54
600001,Urban,7.05,Low,Underground,3217,1.4,20624.88
122002,Rural,9.05,High,Aerial,4789,1.01,28625.82
700091,Urban,9.35,High,Underground,6177,1.19,36265.21
110016,Urban,9.64,High,Aerial,6815,1.44,33561.7
560001,Rural,2.51,Low,Aerial,6130,1.31,13995.77
700091,Urban,9.78,Medium,Aerial,3866,1.48,26738.76
380001,Urban,4.92,High,Underground,4041,1.22,19822.25
500081,Urban,4.24,High,Underground,5134,1.4,21402.92
700091,Rural,3.63,Low,Aerial,6835,1.49,18237.52
500081,Rural,8.74,Medium,Aerial,5608,1.43,29003.01
400076,Urban,8.49,Medium,Underground,6486,1.45,32698.05
500081,Urban,7.49,Medium,Aerial,6593,1.32,26309.1
110016,Urban,2.51,High,Underground,6148,1.26,17907.16
380001,Urban,7.03,High,Aerial,7315,1.11,25434.8
122001,Urban,6.91,Low,Aerial,6144,1.29,20980.35
411001,Urban,7.11,High,Aerial,3444,1.41,23833.75
122001,Rural,7.16,High,Aerial,3068,1.02,23415.2
122001,Rural,6.7,Medium,Aerial,6726,1.47,28731.04
500081,Urban,4.58,Low,Underground,3937,1.1,15175.87
380015,Rural,3.22,Medium,Underground,3238,1.11,14365.08
700091,Urban,4.29,Medium,Underground,6603,1.18,20509.76
122002,Urban,9.82,Medium,Aerial,3199,1.36,26952.54
411045,Rural,3.65,Medium,Aerial,7499,1.31,20472.1
560034,Rural,7.14,Medium,Aerial,5573,1.42,26873.52
122001,Urban,6.67,Medium,Aerial,6169,1.37,22886.65
500032,Rural,2.94,Medium,Underground,7082,1.46,22631.52
400076,Rural,2.51,Medium,Underground,4868,1.23,15325.96
380015,Urban,6.43,Low,Underground,5750,1.14,21308.62
500081,Rural,7.5,Medium,Underground,5276,1.45,29935.33
600001,Rural,2.08,Medium,Aerial,4028,1.27,10685.26
560034,Urban,1.26,High,Aerial,3974,1.17,8652.95
700091,Urban,1.75,Low,Underground,7389,1.26,14445.94
700091,Rural,7.43,Low,Aerial,5068,1.06,22784.6
500032,Urban,9.08,Medium,Underground,4588,1.21,30212.17
560001,Rural,8.26,Low,Aerial,3539,1.1,22680.15
600001,Rural,4.82,High,Underground,4529,1.08,22212.14
411001,Rural,3.29,Medium,Aerial,6045,1.21,16514.2
560001,Urban,2.73,Low,Aerial,7434,1.28,15719.73
700091,Urban,8.4,Medium,Aerial,3473,1.42,24977.56
600028,Urban,6.93,Low,Aerial,5349,1.02,19801.9
411045,Urban,4.08,Low,Aerial,5284,1.28,15551.29
122001,Urban,6.83,Low,Aerial,7886,1.13,21782.09
380015,Urban,4.44,Low,Underground,4496,1.45,17829.68
700091,Urban,6.91,High,Aerial,6475,1.44,28085.26
411045,Urban,0.54,Low,Underground,3589,1.32,6797.52
560034,Rural,4,Medium,Underground,4622,1.2,18592.37
122001,Rural,7.54,Low,Aerial,6050,1.45,26341.97
600028,Urban,9.59,High,Underground,4974,1.14,35957.61
500032,Urban,4.93,High,Underground,6267,1.2,24058.72
380015,Urban,2.99,Low,Underground,6349,1.38,17236.64
500081,Urban,2.11,High,Aerial,3083,1.24,9417.13
122001,Urban,2.49,High,Underground,4483,1.35,15749.03
380015,Rural,7.1,High,Underground,7288,1.12,32385.22
400076,Rural,8.7,High,Underground,6260,1.16,35979.7
700091,Rural,8,Low,Underground,6965,1.06,27711.86
600028,Urban,3.31,Medium,Underground,6854,1.25,18281.34
560001,Urban,5.54,Medium,Underground,5863,1.24,23646.39
122002,Rural,1.79,Medium,Underground,3269,1.25,10629.5
380001,Rural,3.85,Medium,Aerial,5035,1.12,15662.05
122001,Urban,1,High,Aerial,6690,1.32,12407.75
700091,Urban,6.27,Low,Aerial,7378,1.48,24335.48
700001,Rural,3.67,Low,Aerial,7306,1.49,19254.19
500032,Rural,3.37,Medium,Underground,4812,1.19,16933.16
110016,Rural,8.27,High,Aerial,4913,1.18,27831.37
400001,Rural,5.58,Medium,Aerial,4728,1.48,20995.49
122002,Rural,3.94,Medium,Aerial,3193,1.21,13968.46
560001,Rural,3.9,High,Underground,5441,1.41,23065.52
600028,Urban,0.53,Low,Aerial,3782,1.1,5411.8
122002,Rural,8.48,Low,Aerial,6592,1.26,25924.58
411045,Urban,1.46,High,Aerial,3034,1.15,7941.25
700001,Urban,2.86,Medium,Underground,4321,1.01,13374.24
600028,Urban,8.98,Low,Underground,6080,1.34,29858.75
600028,Rural,9.6,Low,Underground,4930,1.25,30768.72
411045,Urban,7.03,Low,Aerial,4275,1.06,17687.84
411001,Rural,5.84,Low,Aerial,3468,1.48,17704.53
122002,Urban,2.96,Medium,Aerial,5975,1.19,13922.15
400001,Urban,6.04,Medium,Underground,5279,1.4,25335.33
600028,Urban,2.19,High,Aerial,6722,1.3,16185.69
400001,Rural,7.61,Medium,Underground,7984,1.4,36789.07
380001,Rural,1.12,High,Aerial,7148,1.15,13896.73
380001,Urban,9.15,High,Underground,3893,1.47,34569.25
411001,Rural,1.63,High,Aerial,6010,1.43,16074.45
400076,Rural,2.56,Medium,Underground,5891,1.3,17083.83
600001,Rural,5.37,Medium,Underground,3131,1.19,19938.19
110001,Rural,2.12,Medium,Aerial,5201,1.41,13727.67
560034,Rural,8.89,Low,Underground,5573,1.03,28351.02
411045,Urban,9.18,High,Underground,5077,1.09,31690.45
700001,Urban,3.08,High,Aerial,3880,1.09,13068.01
110016,Urban,7.69,Medium,Underground,3950,1.28,24673.44
400001,Urban,2.83,Medium,Underground,6981,1.35,18134.24
600001,Rural,0.76,Medium,Aerial,7664,1.16,12323.28
600028,Urban,1.43,Medium,Underground,4279,1.44,11140.23
500032,Rural,1.68,Low,Aerial,5085,1.13,9618.22
560034,Urban,1.72,Medium,Underground,6913,1.36,16358.53
122001,Rural,4.04,Low,Underground,5078,1.2,17190.03
380001,Rural,4.78,Low,Underground,4220,1.26,19275.56
700001,Urban,2.66,Low,Underground,7902,1.33,18762.99
110016,Rural,1.26,Medium,Aerial,3549,1.2,7914.52
700091,Rural,2.98,High,Underground,6542,1.2,21277.84
122001,Rural,5.06,High,Underground,4928,1.01,22963.74
560034,Urban,9.89,Low,Aerial,7425,1.19,28517.26
560001,Urban,4.34,Medium,Underground,4192,1.1,17370.3
560034,Rural,1.38,High,Aerial,4110,1.11,9552.34
700001,Rural,5.37,High,Aerial,6651,1.27,23682.96
500032,Rural,9.66,High,Underground,6636,1.33,41693.25
411045,Urban,4.19,High,Underground,3120,1.04,15367.81
600001,Rural,3.65,High,Underground,6181,1.41,23355.02
500081,Urban,8.99,Medium,Underground,6154,1.26,31731.02
600001,Rural,4.46,High,Aerial,5662,1.21,20925.22
700001,Rural,2.44,Medium,Underground,3464,1.29,12370.91
700091,Rural,5.34,High,Aerial,6427,1.11,22346.38
560034,Urban,2.13,Medium,Underground,5430,1.15,13498.57
600001,Urban,6.71,High,Underground,4915,1.48,28409.34
122002,Urban,4.51,Medium,Underground,5250,1.13,19825.36
560001,Rural,3.37,Low,Aerial,6512,1.18,15320.03
411045,Rural,8.18,Low,Aerial,5075,1.21,24360.16
380001,Rural,3.75,Low,Aerial,7400,1.23,18535.87
110001,Urban,5.87,High,Underground,7147,1.16,28007.31
560001,Rural,2.46,Medium,Aerial,5233,1.24,14008.35
560034,Rural,6.19,Low,Aerial,7359,1.07,21549.17
411001,Rural,2.33,Low,Aerial,7652,1.14,14376.94
500032,Urban,6.98,High,Underground,6079,1.42,31219.85
122002,Rural,5.1,Low,Aerial,7576,1.5,22722.75
380015,Urban,1.01,Medium,Underground,7094,1.34,14245.17
400001,Rural,5.78,High,Aerial,4946,1.09,21869.7
110001,Rural,2.85,High,Underground,4732,1.21,17000.8
380015,Urban,8.62,Low,Aerial,7015,1.13,24374.31
